,events,hit_distance_sc,launch_angle,launch_speed,estimated_ba_using_speedangle
2579,field_out,32,-2,80.1,0.169
3144,field_out,201,60,87.5,0.017
3768,single,75,2,99.2,0.426
3706,force_out,8,-5,75.5,0.109
4244,field_out,39,56,25.2,0.074
2548,single,370,20,100.4,0.383
3888,field_out,186,62,90.1,0.003
3960,field_out,399,37,105.6,0.586
4307,field_out,19,-7,76.6,0.089
3104,grounded_into_double_play,12,-8,103.9,0.346
3402,single,39,0,100.7,0.434
3986,double,200,13,102.8,0.88
4234,field_out,310,18,97.4,0.403
426,field_out,47,-1,97.5,0.346
595,field_out,323,51,101.0,0.014
2279,field_out,69,10,52.1,0.143
2523,single,126,5,95.3,0.477
2635,field_out,149,13,75.2,0.417
3828,field_out,4,-25,97.7,0.094
742,field_out,293,26,86.3,0.1
776,single,19,-5,81.6,0.154
850,field_out,282,41,82.2,0.029
948,field_out,0,-85,54.5,0.154
28,field_out,360,37,90.7,0.02
88,single,255,17,90.9,0.78
181,single,67,2,103.1,0.509
352,field_out,33,1,71.1,0.12
553,field_out,347,17,99.1,0.466
1053,field_out,213,13,103.2,0.88
1334,field_out,27,-5,94.4,0.257
1026,single,111,4,93.2,0.414
1698,field_out,7,-19,61.3,0.06
1839,sac_bunt,0,-79,37.5,0.16
1931,single,38,-1,101.9,0.391
1561,force_out,39,-1,80.7,0.186
1764,double,213,11,103.7,0.897
1794,field_out,153,11,82.2,0.52
1948,field_out,364,35,99.0,0.28
2267,force_out,4,-33,71.3,0.089
2062,field_out,286,46,87.6,0.009
2532,field_out,352,20,106.6,0.757
3231,field_out,340,29,89.7,0.083
4163,field_out,103,75,91.7,0.011
3069,field_out,46,73,38.1,0.011
3433,field_out,3,-34,71.2,0.089
4162,field_out,311,29,84.2,0.083
1654,field_out,7,-18,90.1,0.109
1695,home_run,398,22,102.3,0.571
2043,field_out,346,19,102.3,0.451
2070,double,370,26,94.2,0.189
2358,sac_fly,363,33,99.6,0.406
2389,single,84,3,101.9,0.56
2449,double,134,7,89.7,0.491
3170,field_out,3,-24,106.6,0.16
3937,double,308,21,105.7,0.774
2948,field_out,25,-5,86.7,0.12
3690,field_out,10,-11,107.1,0.297
3173,field_out,1,-59,56.9,0.226
3333,single,3,-26,75.2,0.04
3541,single,230,26,75.9,0.629
4112,field_out,292,54,104.6,0.023
2143,double,215,12,108.0,0.891
2752,home_run,429,27,105.5,0.889
3554,double,117,6,104.9,0.58
3384,field_out,2,-43,85.9,0.066
4008,field_out,178,12,94.6,0.894
341,double,288,18,96.6,0.403
526,single,83,4,103.8,0.543
2250,field_out,11,-12,92.1,0.146
3862,home_run,392,20,108.2,0.817
3998,field_out,5,-25,92.7,0.071
4275,single,288,13,102.1,0.894
567,grounded_into_double_play,38,-1,104.7,0.437
641,single,32,-2,80.6,0.174
699,single,5,-20,98.4,0.12
769,field_out,11,-10,91.5,0.186
692,field_out,294,39,84.7,0.02
805,field_out,6,-23,92.3,0.103
886,double,270,13,96.6,0.926
827,double_play,295,15,102.5,0.626
880,single,210,11,95.2,0.791
1201,single,1,-68,,
1373,field_out,210,56,79.1,0.06
1371,field_out,1,-55,41.4,0.229
1513,field_out,283,51,98.6,0.006
1628,field_out,306,40,91.8,0.014
1709,field_out,50,1,95.4,0.414
2058,field_out,240,49,80.6,0.034
2638,field_out,86,3,102.8,0.546
3311,double,328,16,103.4,0.531
3318,field_out,7,-20,93.4,0.103
4107,field_out,26,-4,93.3,0.243
3570,home_run,358,29,99.9,0.506
4193,field_out,260,27,76.1,0.537
2905,double,253,13,103.2,0.88
4022,field_out,5,-31,67.8,0.051
2453,home_run,398,26,102.2,0.68
3493,single,223,9,106.1,0.78
4353,field_out,241,52,80.7,0.037
1775,field_out,171,54,67.6,0.091
2137,force_out,2,-39,96.3,0.094
2255,single,6,-20,101.2,0.16
2381,field_out,70,76,76.5,0.009
2991,field_out,10,-7,87.5,0.114
3354,field_out,329,43,103.4,0.154
3577,single,216,27,69.6,0.92
3817,field_out,22,-5,75.2,0.094
2510,field_out,23,-6,101.3,0.254
2840,field_out,228,44,71.1,0.3
3432,single,7,-17,81.1,0.071
4084,field_out,2,-36,90.1,0.086
185,field_out,2,-40,82.4,0.071
209,field_out,357,34,95.6,0.134
2669,field_out,350,22,95.7,0.209
4105,field_out,5,-27,79.1,0.046
220,field_out,8,-14,97.1,0.194
351,field_out,1,-61,56.3,0.251
3215,field_out,10,-10,60.2,0.091
448,field_out,13,-9,96.0,0.197
494,home_run,379,27,103.7,0.837
583,home_run,403,31,104.6,0.791
739,double,416,29,108.1,0.966
837,field_out,234,55,95.3,0.009
896,field_out,11,-13,65.7,0.049
360,double_play,143,7,107.1,0.637
605,double,177,13,82.0,0.671
715,field_out,195,54,83.0,0.023
1018,field_out,305,40,87.2,0.014
1035,field_out,4,-21,78.2,0.031
1118,double,122,4,91.1,0.377
765,field_out,266,38,78.5,0.057
794,field_out,78,73,66.7,0.006
944,field_out,370,25,97.4,0.351
1278,force_out,51,0,106.0,0.446
1290,single,117,5,103.3,0.557
1468,field_out,11,-11,98.2,0.22
1526,field_out,273,47,95.8,0.003
1177,sac_fly,295,42,92.6,0.003
1275,field_out,4,-21,103.4,0.189
1284,double,355,19,100.0,0.369
1404,single,190,12,91.6,0.869
1548,field_out,44,0,105.8,0.446
1733,single,190,14,83.3,0.803
1917,field_out,8,-17,87.3,0.1
2060,field_out,2,-45,86.5,0.074
1599,field_out,279,41,91.0,0.009
1842,field_out,334,23,96.7,0.269
2047,field_out,44,-1,88.3,0.243
2239,field_out,113,9,85.2,0.471
2428,field_out,17,-8,57.4,0.103
2580,double,189,12,92.7,0.871
3015,force_out,6,-21,92.6,0.109
3193,single,74,6,69.2,0.171
2170,field_out,267,48,93.7,0.0
2350,force_out,37,-1,92.7,0.3
2592,field_out,256,46,83.4,0.006
